2022-05-05 12:52:03.876 UTC,,,1347,,6273c873.543,1,,2022-05-05 12:52:03 UTC,,0,LOG,00000,"ending log output to stderr",,"Future log output will go to log destination ""csvlog"".",,,,,,,"","postmaster",,0
2022-05-05 12:52:03.876 UTC,,,1347,,6273c873.543,2,,2022-05-05 12:52:03 UTC,,0,LOG,00000,"starting PostgreSQL 14.1 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 7.5.0-3ubuntu1~18.04) 7.5.0, 64-bit",,,,,,,,,"","postmaster",,0
2022-05-05 12:52:03.876 UTC,,,1347,,6273c873.543,3,,2022-05-05 12:52:03 UTC,,0,LOG,00000,"listening on IPv4 address ""0.0.0.0"", port 5432",,,,,,,,,"","postmaster",,0
2022-05-05 12:52:03.876 UTC,,,1347,,6273c873.543,4,,2022-05-05 12:52:03 UTC,,0,LOG,00000,"listening on IPv6 address ""::"", port 5432",,,,,,,,,"","postmaster",,0
2022-05-05 12:52:03.880 UTC,,,1347,,6273c873.543,5,,2022-05-05 12:52:03 UTC,,0,LOG,00000,"listening on Unix socket ""/tmp/.s.PGSQL.5432""",,,,,,,,,"","postmaster",,0
2022-05-05 12:52:03.891 UTC,,,1352,,6273c873.548,1,,2022-05-05 12:52:03 UTC,,0,LOG,00000,"database system was shut down at 2022-05-05 12:50:47 UTC",,,,,,,,,"","startup",,0
2022-05-05 12:52:03.906 UTC,,,1347,,6273c873.543,6,,2022-05-05 12:52:03 UTC,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,,"","postmaster",,0
2022-05-05 12:52:03.968 UTC,,,1358,,6273c873.54e,1,,2022-05-05 12:52:03 UTC,1/0,0,LOG,00000,"pg_cron scheduler started",,,,,,,,,"","pg_cron launcher",,0
2022-05-05 12:52:08.831 UTC,"postgres","postgres",1361,"192.168.56.1:52582",6273c878.551,1,"idle",2022-05-05 12:52:08 UTC,4/2,0,LOG,00000,"statement: SELECT pg_backend_pid() AS pid",,,,,,,,,"","client backend",,0
2022-05-05 12:52:08.844 UTC,"postgres","postgres",1361,"192.168.56.1:52582",6273c878.551,2,"idle",2022-05-05 12:52:08 UTC,4/3,0,LOG,00000,"statement: CREATE EXTENSION pg_cron;
",,,,,,,,,"","client backend",,0
2022-05-05 13:13:59.223 UTC,"postgres","postgres",1437,"192.168.56.1:52740",6273cd97.59d,1,"idle",2022-05-05 13:13:59 UTC,4/27,0,LOG,00000,"statement: SELECT pg_backend_pid() AS pid",,,,,,,,,"","client backend",,0
